Percipitation,date (mm/dd/yyyy)
16,1/1/2013
39,1/2/2013
11,1/3/2013
7,1/4/2013
19,1/5/2013
11,1/6/2013
14,1/7/2013
34,1/8/2013
8,1/9/2013
32,1/10/2013
7,1/11/2013
20,1/12/2013
16,1/13/2013
32,1/14/2013
14,1/15/2013
17,1/16/2013
25,1/17/2013
29,1/18/2013
24,1/19/2013
20,1/20/2013
35,1/21/2013
12,1/22/2013
18,1/23/2013
40,1/24/2013
37,1/25/2013
28,1/26/2013
11,1/27/2013
16,1/28/2013
27,1/29/2013
27,1/30/2013
25,1/31/2013
34,2/1/2013
28,2/2/2013
37,2/3/2013
37,2/4/2013
35,2/5/2013
34,2/6/2013
7,2/7/2013
0,2/8/2013
17,2/9/2013
16,2/10/2013
22,2/11/2013
36,2/12/2013
6,2/13/2013
26,2/14/2013
36,2/15/2013
27,2/16/2013
35,2/17/2013
22,2/18/2013
30,2/19/2013
26,2/20/2013
16,2/21/2013
10,2/22/2013
19,2/23/2013
20,2/24/2013
15,2/25/2013
8,2/26/2013
38,2/27/2013
6,2/28/2013
1,3/1/2013
9,3/2/2013
38,3/3/2013
24,3/4/2013
33,3/5/2013
9,3/6/2013
36,3/7/2013
22,3/8/2013
26,3/9/2013
40,3/10/2013
36,3/11/2013
36,3/12/2013
0,3/13/2013
16,3/14/2013
14,3/15/2013
11,3/16/2013
28,3/17/2013
35,3/18/2013
17,3/19/2013
15,3/20/2013
16,3/21/2013
1,3/22/2013
8,3/23/2013
4,3/24/2013
5,3/25/2013
4,3/26/2013
17,3/27/2013
3,3/28/2013
11,3/29/2013
18,3/30/2013
14,3/31/2013
10,4/1/2013
9,4/2/2013
11,4/3/2013
0,4/4/2013
1,4/5/2013
10,4/6/2013
7,4/7/2013
11,4/8/2013
5,4/9/2013
8,4/10/2013
8,4/11/2013
10,4/12/2013
11,4/13/2013
18,4/14/2013
17,4/15/2013
13,4/16/2013
14,4/17/2013
10,4/18/2013
9,4/19/2013
12,4/20/2013
3,4/21/2013
19,4/22/2013
6,4/23/2013
2,4/24/2013
15,4/25/2013
10,4/26/2013
17,4/27/2013
14,4/28/2013
19,4/29/2013
15,4/30/2013
4,5/1/2013
1,5/2/2013
5,5/3/2013
8,5/4/2013
1,5/5/2013
1,5/6/2013
0,5/7/2013
19,5/8/2013
6,5/9/2013
8,5/10/2013
3,5/11/2013
19,5/12/2013
5,5/13/2013
17,5/14/2013
4,5/15/2013
4,5/16/2013
7,5/17/2013
18,5/18/2013
